time,flux,flux_model
1368.135025650714,0.9999087,0.9998623
1368.1554584645564,0.9998386,0.99986464
1368.175891477942,0.999916,0.9998689
1368.1963243913196,0.9997852,0.9998737
1368.216757204238,0.99991405,0.9998749
1368.237190217158,0.9999244,0.99987787
1368.2576231296116,0.99980617,0.9998821
1368.2780559418243,0.99983454,0.99988383
1368.29848895358,0.9998883,0.99988675
1368.3189218653279,0.9998357,0.99989057
1368.3393546768493,0.9998552,0.99989474
1368.3597876879066,0.99987537,0.9998912
1368.3802205987304,0.9998427,0.99989486
1368.4006536093148,0.9999486,0.9998995
1368.421086419672,1.0000834,0.9999028
1368.44151932979,0.99996346,0.9999088
1368.4619522394496,1.0000719,0.9999141
1368.4823851491092,0.99998516,0.9999154
1368.5028180582958,0.9997586,0.9999179
1368.523250967257,0.9999694,0.9999178
1368.5436838759852,0.9998884,0.9999208
1368.5641167844733,0.99978846,0.9999256
1368.5845497927367,0.99988735,0.99993026
1368.6049826005328,0.9997855,0.9999345
1368.6254155080896,0.9999573,0.9999357
1368.6458485156545,1.000044,0.999938
1368.6662813227522,0.99993825,0.9999403
1368.6867142296105,1.0000705,0.99994344
1368.7071472360112,0.9999068,0.9999471
1368.7275800424104,1.0000144,0.9999497
1368.7480130483382,1.0000399,0.9999505
1368.7684459542725,0.99997497,0.99995065
1368.7888787597403,1.0000354,0.99995077
1368.8093117649696,0.99986976,0.99995065
1368.8297446699726,0.99980843,0.99995166
1368.850177474509,0.9998381,0.99995214
1368.87061047904,0.99999505,0.9999557
1368.8910433831115,0.9999465,0.99995726
1368.9114762869503,0.9999452,0.9999581
1368.9319091907819,0.9999935,0.99996144
1368.952342094155,0.99984086,0.99996376
1368.9727749970625,0.9999055,0.99996567
1368.9932078999627,1.0000683,0.9999653
1369.0136408024046,0.99991673,0.9999665
1369.0340737048464,1.0001926,0.99996674
1369.054506706816,0.99979943,0.9999662
1369.0749395085586,0.99984735,0.9999675
1369.0953725100699,1.000033,0.9999651
1369.1158053113395,1.0000572,0.99996436
1369.1362382123843,1.0001295,0.99996436
1369.1771040133026,0.9999293,0.9999642
1369.197536913649,0.99998146,0.99996305
1369.2179699135304,0.99991286,0.99996054
1369.2384027131702,0.99981856,0.99995965
1369.2588356123524,1.0000184,0.9999581
1369.279268611528,0.9999908,0.99995995
1369.2997014104767,1.0000205,0.999959
1369.3201343089604,1.0000216,0.9999598
1369.340567307212,0.99994355,0.9999584
1369.361000105222,0.99995464,0.99995285
1369.3814330030073,0.99988025,0.999951
1369.4018660005531,1.0003872,0.9999499
1369.4222988978727,0.9998988,0.999948
1369.4427317947266,0.9999679,0.9999464
1369.4631646915805,0.9999981,0.99994636
1369.4835975879614,0.999965,0.9999479
1369.5040304841168,0.99985987,0.9999498
1369.524463380032,1.0000552,0.9999533
1369.5448962757218,0.9999454,0.9999533
1369.5653292709467,1.0000334,0.99995136
1369.58576206617,0.99990875,0.9999533
1369.6061949609211,0.99990416,0.999954
1369.6266279556803,0.99990225,0.9999516
1369.647060749965,0.99981207,0.99995106
1369.667493644025,0.9999565,0.9999478
1369.6879266378528,0.99987674,0.9999507
1369.7083594312135,0.99986964,0.9999497
1369.7287923245676,0.9999141,0.9999511
1369.7492253174642,0.9997932,0.9999531
1369.7696581103519,0.99995,0.99995226
1369.7900911027828,0.9999145,0.99995404
1369.81052399498,0.99999213,0.99995685
1369.8309567869437,1.0000205,0.9999581
1369.8513897786688,1.0000613,0.99996173
1369.871822569934,0.9999607,0.99996316
1369.8922554611927,0.99995714,0.99996394
1369.9126884519937,0.99987125,0.99996233
1369.933121342794,0.9999892,0.99996406
1369.953554133128,0.9999213,0.99996436
1369.9739871232232,0.9998603,0.9999663
1369.9944200130922,0.9998981,0.9999669
1370.0148528024874,0.99990284,0.99996644
